Starting benchmark...
Initializing database schema...
creating new srmap
creating new srmap
Populating classes...
Populating posts... with 1000000
Inserted 11000 Role in 0.01s (769856.24 PUTs/sec)!
Waiting for groups to be constructed...
Inserted 1000 User in 0.00s (363499.03 PUTs/sec)!
Inserted 1000 Class in 0.00s (373201.59 PUTs/sec)!
Inserted 1000000 Post in 3.00s (333693.89 PUTs/sec)!
Waiting for posts to propagate...
Finished writing! Sleeping for 2 seconds...
Login users...
Migration 464 took 0.25s!
Migration 465 took 0.26s!
Migration 466 took 0.26s!
Migration 467 took 0.26s!
Migration 468 took 0.26s!
Migration 469 took 0.26s!
Migration 470 took 0.26s!
Migration 471 took 0.26s!
Migration 472 took 0.27s!
Migration 473 took 0.27s!
Migration 474 took 0.26s!
Migration 475 took 0.27s!
Migration 476 took 0.26s!
Migration 477 took 0.26s!
Migration 478 took 0.26s!
Migration 479 took 0.26s!
Migration 480 took 0.26s!
Migration 481 took 0.26s!
Migration 482 took 0.28s!
Migration 483 took 0.28s!
Migration 484 took 0.27s!
Migration 485 took 0.27s!
Migration 486 took 0.26s!
Migration 487 took 0.26s!
Migration 488 took 0.27s!
Migration 489 took 0.27s!
Migration 490 took 0.27s!
Migration 491 took 0.26s!
Migration 492 took 0.26s!
Migration 493 took 0.27s!
Migration 494 took 0.26s!
Migration 495 took 0.27s!
Migration 496 took 0.27s!
Migration 497 took 0.27s!
Migration 498 took 0.27s!
Migration 499 took 0.27s!
Migration 500 took 0.28s!
Migration 501 took 0.29s!
Migration 502 took 0.28s!
Migration 503 took 0.28s!
Migration 504 took 0.27s!
Migration 505 took 0.28s!
Migration 506 took 0.30s!
Migration 507 took 0.28s!
Migration 508 took 0.27s!
Migration 509 took 0.27s!
Migration 510 took 0.27s!
Migration 511 took 0.28s!
Migration 512 took 0.27s!
Migration 513 took 0.27s!
Migration 514 took 0.27s!
Migration 515 took 0.28s!
Migration 516 took 0.28s!
Migration 517 took 0.28s!
Migration 518 took 0.28s!
Migration 519 took 0.28s!
Migration 520 took 0.28s!
Migration 521 took 0.29s!
Migration 522 took 0.28s!
Migration 523 took 0.28s!
Migration 524 took 0.28s!
Migration 525 took 0.28s!
Migration 526 took 0.29s!
Migration 527 took 0.28s!
Migration 528 took 0.28s!
Migration 529 took 0.29s!
Migration 530 took 0.29s!
Migration 531 took 0.28s!
Migration 532 took 0.28s!
Migration 533 took 0.28s!
Migration 534 took 0.28s!
Migration 535 took 0.29s!
Migration 536 took 0.28s!
Migration 537 took 0.29s!
Migration 538 took 0.29s!
Migration 539 took 0.28s!
Migration 540 took 0.28s!
Migration 541 took 0.28s!
Migration 542 took 0.28s!
Migration 543 took 0.28s!
Migration 544 took 0.28s!
Migration 545 took 0.28s!
Migration 546 took 0.28s!
Migration 547 took 0.28s!
Migration 548 took 0.29s!
Migration 549 took 0.29s!
Migration 550 took 0.28s!
Migration 551 took 0.28s!
Migration 552 took 0.28s!
Migration 553 took 0.30s!
Migration 554 took 0.29s!
Migration 555 took 0.28s!
Migration 556 took 0.28s!
Migration 557 took 0.29s!
Migration 558 took 0.29s!
Migration 559 took 0.28s!
Migration 560 took 0.28s!
Migration 561 took 0.29s!
Migration 562 took 0.29s!
Migration 563 took 0.29s!
Migration 564 took 0.29s!
Migration 565 took 0.28s!
Migration 566 took 0.29s!
Migration 567 took 0.29s!
Migration 568 took 0.29s!
Migration 569 took 0.30s!
Migration 570 took 0.29s!
Migration 571 took 0.29s!
Migration 572 took 0.29s!
Migration 573 took 0.29s!
Migration 574 took 0.29s!
Migration 575 took 0.28s!
Migration 576 took 0.30s!
Migration 577 took 0.29s!
Migration 578 took 0.30s!
Migration 579 took 0.29s!
Migration 580 took 0.29s!
Migration 581 took 0.30s!
Migration 582 took 0.30s!
Migration 583 took 0.30s!
Migration 584 took 0.29s!
Migration 585 took 0.29s!
Migration 586 took 0.29s!
Migration 587 took 0.29s!
Migration 588 took 0.29s!
Migration 589 took 0.30s!
Migration 590 took 0.29s!
Migration 591 took 0.29s!
Migration 592 took 0.30s!
Migration 593 took 0.29s!
Migration 594 took 0.30s!
Migration 595 took 0.29s!
Migration 596 took 0.30s!
Migration 597 took 0.29s!
Migration 598 took 0.29s!
Migration 599 took 0.29s!
Migration 600 took 0.30s!
Migration 601 took 0.30s!
Migration 602 took 0.30s!
Migration 603 took 0.30s!
Migration 604 took 0.29s!
Migration 605 took 0.30s!
Migration 606 took 0.30s!
Migration 607 took 0.32s!
Migration 608 took 0.31s!
Migration 609 took 0.30s!
Migration 610 took 0.31s!
Migration 611 took 0.30s!
Migration 612 took 0.29s!
Migration 613 took 0.29s!
Migration 614 took 0.30s!
Migration 615 took 0.30s!
Migration 616 took 0.30s!
Migration 617 took 0.31s!
Migration 618 took 0.30s!
Migration 619 took 0.30s!
Migration 620 took 0.30s!
Migration 621 took 0.30s!
Migration 622 took 0.30s!
Migration 623 took 0.30s!
Migration 624 took 0.30s!
Migration 625 took 0.31s!
Migration 626 took 0.31s!
Migration 627 took 0.30s!
Migration 628 took 0.30s!
Migration 629 took 0.31s!
Migration 630 took 0.30s!
Migration 631 took 0.31s!
Migration 632 took 0.30s!
Migration 633 took 0.31s!
Migration 634 took 0.31s!
Migration 635 took 0.30s!
Migration 636 took 0.31s!
Migration 637 took 0.31s!
Migration 638 took 0.30s!
Migration 639 took 0.31s!
Migration 640 took 0.31s!
Migration 641 took 0.31s!
Migration 642 took 0.31s!
Migration 643 took 0.30s!
Migration 644 took 0.31s!
Migration 645 took 0.31s!
Migration 646 took 0.32s!
Migration 647 took 0.31s!
Migration 648 took 0.30s!
Migration 649 took 0.31s!
Migration 650 took 0.31s!
Migration 651 took 0.31s!
Migration 652 took 0.31s!
Migration 653 took 0.31s!
Migration 654 took 0.31s!
Migration 655 took 0.32s!
Migration 656 took 0.31s!
Migration 657 took 0.30s!
Migration 658 took 0.32s!
Migration 659 took 0.31s!
Migration 660 took 0.31s!
Migration 661 took 0.31s!
Migration 662 took 0.31s!
Migration 663 took 0.31s!
Migration 664 took 0.31s!
Migration 665 took 0.31s!
Migration 666 took 0.32s!
Migration 667 took 0.32s!
Migration 668 took 0.31s!
Migration 669 took 0.33s!
Migration 670 took 0.31s!
Migration 671 took 0.31s!
Migration 672 took 0.31s!
Migration 673 took 0.32s!
Migration 674 took 0.31s!
Migration 675 took 0.31s!
Migration 676 took 0.32s!
Migration 677 took 0.32s!
Migration 678 took 0.31s!
Migration 679 took 0.32s!
Migration 680 took 0.31s!
Migration 681 took 0.32s!
Migration 682 took 0.32s!
Migration 683 took 0.32s!
Migration 684 took 0.31s!
Migration 685 took 0.32s!
Migration 686 took 0.32s!
Migration 687 took 0.32s!
Migration 688 took 0.31s!
Migration 689 took 0.32s!
Migration 690 took 0.31s!
Migration 691 took 0.32s!
Migration 692 took 0.33s!
Migration 693 took 0.32s!
Migration 694 took 0.32s!
Migration 695 took 0.32s!
Migration 696 took 0.32s!
Migration 697 took 0.31s!
Migration 698 took 0.32s!
Migration 699 took 0.32s!
Migration 700 took 0.34s!
Migration 701 took 0.32s!
Migration 702 took 0.32s!
Migration 703 took 0.33s!
Migration 704 took 0.32s!
Migration 705 took 0.32s!
Migration 706 took 0.32s!
Migration 707 took 0.32s!
Migration 708 took 0.32s!
Migration 709 took 0.32s!
Migration 710 took 0.32s!
Migration 711 took 0.32s!
Migration 712 took 0.33s!
Migration 713 took 0.32s!
Migration 714 took 0.33s!
Migration 715 took 0.35s!
Migration 716 took 0.33s!
Migration 717 took 0.32s!
Migration 718 took 0.34s!
Migration 719 took 0.33s!
Migration 720 took 0.32s!
Migration 721 took 0.32s!
Migration 722 took 0.33s!
Migration 723 took 0.34s!
Migration 724 took 0.34s!
Migration 725 took 0.33s!
Migration 726 took 0.33s!
Migration 727 took 0.33s!
Migration 728 took 0.32s!
Migration 729 took 0.33s!
Migration 730 took 0.33s!
Migration 731 took 0.33s!
Migration 732 took 0.33s!
Migration 733 took 0.33s!
Migration 734 took 0.33s!
Migration 735 took 0.33s!
Migration 736 took 0.33s!
Migration 737 took 0.33s!
Migration 738 took 0.33s!
Migration 739 took 0.33s!
Migration 740 took 0.33s!
Migration 741 took 0.33s!
Migration 742 took 0.33s!
Migration 743 took 0.33s!
Migration 744 took 0.33s!
Migration 745 took 0.33s!
Migration 746 took 0.33s!
Migration 747 took 0.33s!
Migration 748 took 0.33s!
Migration 749 took 0.33s!
Migration 750 took 0.33s!
Migration 751 took 0.33s!
Migration 752 took 0.33s!
Migration 753 took 0.34s!
Migration 754 took 0.33s!
Migration 755 took 0.33s!
Migration 756 took 0.34s!
Migration 757 took 0.34s!
Migration 758 took 0.34s!
Migration 759 took 0.33s!
Migration 760 took 0.34s!
Migration 761 took 0.34s!
Migration 762 took 0.34s!
Migration 763 took 0.34s!
Migration 764 took 0.33s!
Migration 765 took 0.34s!
Migration 766 took 0.33s!
Migration 767 took 0.33s!
Migration 768 took 0.35s!
Migration 769 took 0.35s!
Migration 770 took 0.33s!
Migration 771 took 0.35s!
Migration 772 took 0.34s!
Migration 773 took 0.34s!
Migration 774 took 0.34s!
Migration 775 took 0.35s!
Migration 776 took 0.34s!
