Starting benchmark...
Initializing database schema...
Populating posts... with 100000
Populating classes...
Inserted 2000 Role in 2.93s (683.72 PUTs/sec)!
Waiting for groups to be constructed...
Inserted 1000 User in 1.49s (669.34 PUTs/sec)!
Inserted 1000 Class in 1.45s (687.47 PUTs/sec)!
Inserted 100000 Post in 129.64s (771.35 PUTs/sec)!
Waiting for posts to propagate...
Finished writing! Sleeping for 2 seconds...
Login users...
Migration 281 took 1.94s!
Migration 282 took 1.98s!
Migration 283 took 1.94s!
Migration 284 took 1.98s!
Migration 285 took 1.98s!
Migration 286 took 1.98s!
Migration 287 took 1.95s!
Migration 288 took 1.97s!
Migration 289 took 1.95s!
Migration 290 took 1.97s!
Migration 291 took 2.00s!
Migration 292 took 1.98s!
Migration 293 took 2.00s!
Migration 294 took 1.98s!
Migration 295 took 2.00s!
Migration 296 took 1.98s!
Migration 297 took 2.03s!
Migration 298 took 2.01s!
Migration 299 took 2.03s!
Migration 300 took 2.05s!
Migration 301 took 2.02s!
Migration 302 took 2.06s!
Migration 303 took 2.04s!
Migration 304 took 2.03s!
Migration 305 took 2.03s!
Migration 306 took 2.06s!
Migration 307 took 2.09s!
Migration 308 took 2.08s!
Migration 309 took 2.08s!
Migration 310 took 2.11s!
Migration 311 took 2.10s!
Migration 312 took 2.12s!
Migration 313 took 2.12s!
Migration 314 took 2.12s!
Migration 315 took 2.13s!
Migration 316 took 2.11s!
Migration 317 took 2.13s!
Migration 318 took 2.11s!
Migration 319 took 2.18s!
Migration 320 took 2.14s!
Migration 321 took 2.15s!
Migration 322 took 2.16s!
Migration 323 took 2.19s!
Migration 324 took 2.18s!
Migration 325 took 2.18s!
Migration 326 took 2.21s!
Migration 327 took 2.17s!
Migration 328 took 2.21s!
Migration 329 took 2.23s!
Migration 330 took 2.23s!
Migration 331 took 2.21s!
Migration 332 took 2.22s!
Migration 333 took 2.24s!
Migration 334 took 2.23s!
Migration 335 took 2.29s!
Migration 336 took 2.26s!
Migration 337 took 2.25s!
Migration 338 took 2.23s!
Migration 339 took 2.23s!
Migration 340 took 2.27s!
Migration 341 took 2.27s!
Migration 342 took 2.37s!
Migration 343 took 2.30s!
Migration 344 took 2.28s!
Migration 345 took 2.34s!
Migration 346 took 2.29s!
Migration 347 took 2.35s!
Migration 348 took 2.39s!
Migration 349 took 2.31s!
Migration 350 took 2.31s!
Migration 351 took 2.33s!
Migration 352 took 2.30s!
Migration 353 took 2.37s!
Migration 354 took 2.33s!
Migration 355 took 2.37s!
Migration 356 took 2.35s!
Migration 357 took 2.34s!
Migration 358 took 2.38s!
Migration 359 took 2.38s!
Migration 360 took 2.57s!
Migration 361 took 2.35s!
Migration 362 took 2.37s!
Migration 363 took 2.41s!
Migration 364 took 2.40s!
Migration 365 took 2.41s!
Migration 366 took 2.52s!
Migration 367 took 2.41s!
